일자,기온,풍속(m/s),풍향(16방위),습도(%),증기압(hPa),현지기압(hPa),일조(hr),일사(MJ/m2),지면온도(°C),오 존,이산화질소,일산화탄소,아황산가스,PM10,PM2.5
2021-04-10-13,17.5,1.3,200,39,7.7,1019.9,1,3.2,28.9,0.03,0.024,0.4,0.003,32,17
2021-04-10-14,18.3,2.8,140,38,8,1019.2,1,3.09,28.9,0.027,0.032,0.4,0.003,32,15
2021-04-10-15,18.8,3.2,230,38,8.2,1019,1,2.73,27.1,0.028,0.03,0.4,0.003,28,14
2021-04-10-16,17.7,4.3,250,35,7.1,1018.7,0.9,2.07,23.3,0.034,0.02,0.3,0.003,25,15
2021-04-10-17,17,4,250,29,5.6,1018.6,1,1.5,18.6,0.039,0.013,0.3,0.002,24,13
2021-04-10-18,15.8,3.6,250,31,5.6,1018.7,1,0.75,15.3,0.037,0.013,0.3,0.002,27,14
2021-04-10-19,13.8,2.6,270,36,5.7,1019,0.3,0.2,12.7,0.036,0.018,0.3,0.002,21,12
2021-04-10-20,12.7,2.3,270,50,7.3,1019.6,0,0,11.3,0.035,0.017,0.3,0.003,22,14
2021-04-10-21,11.8,2.1,270,55,7.6,1020.1,,,10.5,0.027,0.029,0.4,0.002,23,13
2021-04-10-22,11.2,0.9,250,59,7.8,1020.2,,,9.8,0.026,0.024,0.3,0.002,22,16
2021-04-10-23,10.5,1.5,250,60,7.6,1020.5,,,9.1,0.023,0.027,0.4,0.003,23,11
2021-04-11-00,9.7,1.1,250,63,7.5,1020.7,,,8.5,0.025,0.033,0.4,0.003,27,12
2021-04-11-01,9.5,0.7,340,66,7.8,1020.9,,,8,0.031,0.027,0.4,0.003,29,14
2021-04-11-02,8.9,0.6,20,60,6.8,1020.7,,,7.5,0.033,0.029,0.4,0.003,29,14
2021-04-11-03,8.6,1.5,20,60,6.7,1020.6,,,7.2,0.036,0.023,0.4,0.003,31,15
2021-04-11-04,8.4,0.7,320,63,6.9,1020.6,,,6.7,0.042,0.023,0.4,0.003,35,16
2021-04-11-05,8.2,1.3,360,62,6.7,1020.6,,,6.5,0.052,0.024,0.4,0.003,35,18
2021-04-11-06,7.8,1.9,20,66,7,1020.8,,,6.3,0.059,0.027,0.4,0.003,43,22
2021-04-11-07,7.6,2.1,20,68,7.1,1021,0.1,0.14,7.2,0.066,0.028,0.5,0.004,50,29
2021-04-11-08,9.5,2,50,64,7.6,1021,1,0.63,10.6,0.058,0.029,0.5,0.004,51,30
2021-04-11-09,12.2,2.1,70,50,7.1,1021.6,1,1.4,15.9,0.05,0.033,0.5,0.004,41,23
2021-04-11-10,14.8,1.7,90,40,6.7,1021.4,1,2.09,21.2,0.046,0.027,0.5,0.003,40,19
2021-04-11-11,17.1,1.3,160,29,5.6,1021.2,1,2.7,26.2,0.045,0.026,0.5,0.003,35,18
2021-04-11-12,18.8,1.8,180,29,6.2,1020.4,1,3.08,29.8,0.042,0.024,0.5,0.003,39,19
2021-04-11-13,19.9,2,230,26,6.1,1019.3,1,3.13,30.6,0.037,0.025,0.4,0.002,36,18
2021-04-11-14,20.8,2.2,250,27,6.6,1018.4,1,2.97,31.6,0.038,0.02,0.4,0.003,36,18
2021-04-11-15,21.2,1.6,110,26,6.5,1017.7,0.9,2.32,26.8,0.036,0.02,0.4,0.002,33,18
2021-04-11-16,21.5,1.7,270,26,6.6,1016.6,0.8,1.96,26.5,0.027,0.022,0.4,0.003,35,20
2021-04-11-17,20.8,3.2,270,29,7.1,1016.4,0.8,1.3,21.2,0.025,0.021,0.4,0.002,30,16
2021-04-11-18,19.5,3.7,290,34,7.7,1016.3,1,0.72,17.6,0.027,0.018,0.4,0.002,32,16
2021-04-11-19,18.1,2.7,320,42,8.7,1016.1,0,0.13,15.4,0.025,0.018,0.4,0.002,27,17
2021-04-11-20,17.1,2.8,290,45,8.7,1016,0,0,14.1,0.026,0.017,0.4,0.002,30,16
2021-04-11-21,16.5,1.1,20,45,8.4,1016.2,,,13.6,0.022,0.02,0.4,0.002,28,16
2021-04-11-22,16.1,0.8,290,46,8.4,1016.8,,,13.4,0.014,0.025,0.4,0.002,29,15
2021-04-11-23,15.5,0.7,290,50,8.8,1016.3,,,12.6,0.01,0.036,0.5,0.002,29,16
2021-04-12-00,15,0.2,0,53,9,1015.9,,,12.5,0.029,0.032,0.4,0.003,36,20
2021-04-12-01,14.7,1.3,270,52,8.7,1015.4,,,12.4,0.034,0.027,0.4,0.003,38,19
2021-04-12-02,14.4,0.4,0,52,8.5,1014.8,,,12.3,0.039,0.028,0.4,0.003,40,23
2021-04-12-03,14.2,1,360,50,8.1,1014.5,,,12,0.046,0.027,0.4,0.003,34,18
2021-04-12-04,13.7,1.6,50,53,8.2,1013.9,,,11.4,0.048,0.023,0.4,0.003,41,19
2021-04-12-05,13.5,2.4,50,54,8.3,1013.5,,,11.4,0.052,0.025,0.4,0.003,47,21
2021-04-12-06,13.5,2,50,54,8.3,1012.8,,,11.4,0.057,0.025,0.4,0.003,48,28
2021-04-12-07,13.9,2.1,70,55,8.7,1012.5,0,0.08,12,0.061,0.024,0.4,0.002,47,25
2021-04-12-08,14.6,1.2,90,52,8.6,1012.7,0,0.26,13,0.061,0.026,0.4,0.003,51,29
2021-04-12-09,15.5,2.6,110,49,8.6,1012.4,0,0.46,14.2,0.062,0.026,0.5,0.003,57,31
2021-04-12-10,16.1,2,160,46,8.4,1012.3,0,0.58,15.3,0.056,0.025,0.5,0.003,54,32
2021-04-12-11,16.9,2.8,70,41,7.8,1011,0,0.75,17.5,0.051,0.024,0.5,0.003,45,24
2021-04-12-12,17.6,3.9,140,39,7.8,1010.1,0,0.96,17.5,0.035,0.034,0.6,0.003,43,26
2021-04-12-13,16.6,3.8,140,48,9,1008.9,0,0.61,16,0.025,0.039,0.6,0.003,42,24
2021-04-12-14,14.3,4.8,140,58,9.4,1007.9,0,0.51,14.3,0.02,0.04,0.6,0.003,45,26
2021-04-12-15,12.9,3.6,70,79,11.7,1006.3,0,0.41,14.3,0.017,0.039,0.5,0.003,45,25
2021-04-12-16,12.2,3.4,70,92,13,1004.5,0,0.41,14.2,0.022,0.031,0.5,0.003,44,24
2021-04-12-17,12,4,70,94,13.1,1003.2,0,0.25,13.5,0.019,0.032,0.5,0.003,45,23
2021-04-12-18,12,3.8,70,95,13.3,1002.1,0,0.08,12.7,0.018,0.03,0.5,0.003,46,22
2021-04-12-19,12,2.6,70,97,13.6,1001.2,0,0.02,12.4,0.017,0.03,0.5,0.003,42,22
2021-04-12-20,12.1,2.6,70,98,13.7,1000.6,0,0.01,12.3,0.014,0.03,0.5,0.002,44,23
2021-04-12-21,12.2,2.5,50,98,13.8,1000.4,,,12.4,0.012,0.04,0.5,0.003,46,23
2021-04-12-22,12.4,2.6,50,99,14.2,999.6,,,12.5,0.012,0.048,0.6,0.003,56,30
2021-04-12-23,12.5,1.8,70,98,14.1,998.6,,,12.5,0.008,0.053,0.6,0.003,58,30
2021-04-13-00,12.6,0.9,360,99,14.4,998,,,12.6,0.012,0.053,0.7,0.003,59,30
2021-04-13-01,12.6,4.8,230,99,14.4,997.7,,,12.5,0.017,0.046,0.6,0.003,56,26
2021-04-13-02,11.7,3.1,200,98,13.4,997.9,,,12,0.022,0.047,0.6,0.003,43,22
2021-04-13-03,11.2,3.6,250,98,12.9,998,,,11.7,0.033,0.033,0.5,0.003,33,13
2021-04-13-04,10.9,2.6,250,98,12.7,998.4,,,11.5,0.037,0.032,0.5,0.003,31,13
2021-04-13-05,10.7,3.1,230,98,12.5,998.9,,,11.4,0.037,0.031,0.4,0.002,35,16
2021-04-13-06,11,2.9,230,99,12.9,998.9,,,11.5,0.027,0.034,0.5,0.002,34,16
2021-04-13-07,11.2,2.7,270,96,12.7,999.5,0,0.06,11.9,0.026,0.037,0.6,0.002,31,14
2021-04-13-08,11.1,4.3,270,89,11.7,1000.8,0,0.23,12.8,0.023,0.042,0.6,0.002,26,12
2021-04-13-09,11.9,4.1,290,80,11.1,1001.4,0.5,1.27,17.6,0.021,0.045,0.6,0.002,18,10
2021-04-13-10,13.1,2.6,250,78,11.7,1001.5,0.7,1.95,19.5,0.017,0.046,0.6,0.002,20,11
2021-04-13-11,12.5,4.6,270,76,10.9,1001.9,0.2,1.31,16.6,0.014,0.048,0.5,0.003,21,12
2021-04-13-12,12.6,4.1,250,70,10.2,1002.2,0.1,1.31,18.5,0.013,0.047,0.5,0.002,17,12
2021-04-13-13,12.9,5.2,270,64,9.5,1002.4,0.4,2.33,20.2,0.012,0.047,0.5,0.003,14,8
2021-04-13-14,12.7,5.4,270,53,7.7,1002.4,0.5,2.55,21.3,0.012,0.044,0.5,0.002,11,7
2021-04-13-15,12.4,4.3,270,56,8,1002.5,0.2,1.45,19.9,0.014,0.04,0.4,0.002,8,5
2021-04-13-16,11.5,3.9,250,58,7.8,1002.6,0.2,1.27,16,0.021,0.03,0.4,0.003,7,3
2021-04-13-17,11.1,4,250,59,7.7,1002.9,0.1,0.72,14.6,0.035,0.021,0.3,0.002,5,4
2021-04-13-18,10.2,3.5,230,60,7.4,1003.6,0,0.38,12.6,0.032,0.024,0.3,0.002,5,3
2021-04-13-19,9.5,3.1,270,58,6.9,1003.6,0,0.11,11,0.031,0.023,0.3,0.002,5,3
2021-04-13-20,8.7,2.9,270,59,6.6,1004.4,0,0.01,9.6,0.028,0.024,0.3,0.002,5,3
2021-04-13-21,8,4.1,250,65,7,1005.5,,,8.6,0.021,0.029,0.3,0.003,5,3
2021-04-13-22,7.2,3,290,63,6.4,1006.4,,,7.4,0.03,0.025,0.3,0.002,7,3
2021-04-13-23,6.5,3.3,320,61,5.9,1006.9,,,6.8,0.033,0.028,0.4,0.002,5,3
2021-04-14-00,5.7,3,270,64,5.9,1007.3,,,6.2,0.04,0.023,0.4,0.002,8,5
2021-04-14-01,5.4,3,270,63,5.7,1007.7,,,5.7,0.041,0.024,0.4,0.003,12,7
2021-04-14-02,5,2.7,270,68,5.9,1007.8,,,5.4,0.036,0.028,0.4,0.003,17,10
2021-04-14-03,4.6,1.8,270,70,5.9,1007.8,,,5,0.033,0.025,0.5,0.002,21,13
2021-04-14-04,3.9,1.4,290,72,5.8,1007.8,,,4.6,0.033,0.023,0.5,0.003,19,9
2021-04-14-05,3.4,1.2,270,74,5.8,1007.9,,,4.1,0.035,0.018,0.4,0.002,19,10
2021-04-14-06,3.4,1.7,290,75,5.8,1008.3,0,0,3.8,0.034,0.019,0.4,0.002,16,7
2021-04-14-07,3.1,0.5,230,75,5.7,1008.7,0.7,0.21,4.4,0.032,0.019,0.4,0.002,18,7
2021-04-14-08,5,1.7,270,67,5.8,1009.4,1,0.88,8.7,0.032,0.021,0.4,0.002,21,10
2021-04-14-09,6.8,2.4,320,54,5.4,1009.9,1,1.73,15.2,0.031,0.023,0.4,0.002,21,11
2021-04-14-10,8.3,2.4,270,43,4.7,1009.6,1,2.41,19.9,0.03,0.024,0.4,0.002,22,10
2021-04-14-11,10.8,2.9,180,40,5.2,1009.3,1,3,23.8,0.034,0.017,0.4,0.002,18,10
2021-04-14-12,12.6,2.8,200,33,4.8,1008.6,1,3.41,26.7,0.032,0.019,0.4,0.003,18,10
2021-04-14-13,12.7,6.1,270,33,4.9,1008,1,3.53,25.9,0.034,0.014,0.3,0.003,18,10
2021-04-14-14,12.6,5.3,270,35,5.1,1008,1,3.46,25.7,0.035,0.012,0.3,0.002,19,10
2021-04-14-15,13,3.8,270,36,5.4,1008.2,1,3.1,24.6,0.034,0.012,0.3,0.002,21,12
2021-04-14-16,12.4,4.9,230,36,5.2,1008.1,1,2.53,20.9,0.034,0.012,0.3,0.002,23,11
2021-04-14-17,12,4.1,230,41,5.8,1008,1,1.81,15.4,0.033,0.011,0.3,0.002,21,13
2021-04-14-18,11.1,3.7,250,51,6.7,1008.4,1,0.95,12.5,0.032,0.011,0.3,0.002,23,14
2021-04-14-19,9.4,4.1,270,59,6.9,1008.2,0.7,0.28,10.3,0.028,0.012,0.3,0.002,21,14
2021-04-14-20,8.7,2.9,270,65,7.3,1008.5,0,0.01,9,0.03,0.013,0.3,0.002,21,13
2021-04-14-21,8.4,2.9,250,69,7.6,1009.5,,,8.4,0.031,0.011,0.3,0.002,21,13
2021-04-14-22,8.1,2.2,230,72,7.7,1010,,,7.9,0.029,0.013,0.3,0.003,20,11
2021-04-14-23,7.6,2.2,250,79,8.2,1009.8,,,7.5,0.028,0.015,0.3,0.002,16,8
2021-04-15-00,7.1,1.7,250,80,8,1009.7,,,7.1,0.031,0.012,0.3,0.003,17,8
2021-04-15-01,7.1,1.1,270,83,8.4,1010,,,6.8,0.032,0.016,0.3,0.003,26,7
2021-04-15-02,6.6,1,180,85,8.2,1009.6,,,6.4,0.025,0.021,0.4,0.002,22,8
2021-04-15-03,6.4,1.8,20,87,8.3,1009.2,,,6.7,0.034,0.018,0.3,0.003,22,10
2021-04-15-04,6.7,1.7,90,86,8.4,1010,,,7.2,0.038,0.019,0.4,0.003,23,13
2021-04-15-05,6.9,2.2,110,85,8.4,1009.7,,,7.6,0.043,0.014,0.4,0.003,24,11
2021-04-15-06,6.9,2.4,140,83,8.2,1009.8,0,0,7.4,0.045,0.016,0.4,0.003,27,11
2021-04-15-07,7,2.4,110,81,8.1,1009.8,0,0.12,7.8,0.048,0.017,0.3,0.003,26,11
2021-04-15-08,7.8,2.3,140,77,8.1,1010.3,0.5,0.54,9.9,0.043,0.023,0.4,0.003,27,13
2021-04-15-09,9.4,1.8,110,71,8.3,1010.4,0.9,1.32,15.1,0.041,0.025,0.4,0.003,38,14
2021-04-15-10,11.2,2.3,200,66,8.7,1010.9,1,2.07,19.6,0.037,0.028,0.5,0.003,33,16
2021-04-15-11,12.6,1.2,70,57,8.2,1010.3,1,2.61,24,0.038,0.025,0.5,0.003,34,17
2021-04-15-12,14.8,2.3,180,53,8.8,1009.4,1,3.3,28,0.034,0.029,0.5,0.003,36,18
2021-04-15-13,16,1.7,200,42,7.6,1008.6,1,3.45,29,0.029,0.036,0.5,0.002,34,18
2021-04-15-14,17,2.4,230,32,6.2,1007.2,1,3.34,28.9,0.03,0.027,0.4,0.002,34,20
2021-04-15-15,17.8,3.3,230,35,7.1,1006.4,1,2.96,27,0.036,0.024,0.4,0.002,32,17
2021-04-15-16,17.7,3.1,270,40,8.1,1005.5,1,2.29,24,0.037,0.022,0.4,0.002,36,17
2021-04-15-17,16.9,4.4,270,35,6.7,1005.4,1,1.69,18.5,0.035,0.022,0.4,0.003,38,17
2021-04-15-18,15.9,3,270,42,7.5,1005.3,1,0.83,15.4,0.034,0.022,0.4,0.002,37,19
2021-04-15-19,14,3.3,270,41,6.5,1005.7,0.7,0.26,12.7,0.032,0.022,0.4,0.003,37,19
2021-04-15-20,12.7,3.3,270,51,7.5,1005.7,0,0,11.2,0.023,0.024,0.4,0.003,41,25
2021-04-15-21,11.9,1.3,250,61,8.5,1006.1,,,10.9,0.023,0.034,0.4,0.002,41,25
2021-04-15-22,10.9,1.3,230,64,8.3,1006,,,9.9,0.02,0.036,0.5,0.002,47,28
2021-04-15-23,10.3,1.4,270,64,8,1006.2,,,9.5,0.024,0.055,0.5,0.002,47,26
2021-04-16-00,10,1.2,270,66,8.1,1006.8,,,9,0.023,0.038,0.5,0.003,50,28
2021-04-16-01,9.8,0.5,20,64,7.7,1006.2,,,8.9,0.026,0.039,0.6,0.003,58,27
2021-04-16-02,10.6,2,160,47,6,1005.4,,,8.9,0.033,0.036,0.6,0.004,51,26
2021-04-16-03,10.6,1.5,200,49,6.2,1005.9,,,9.1,0.035,0.033,0.6,0.004,49,27
2021-04-16-04,11,1.1,180,49,6.4,1005.4,,,9.5,0.036,0.034,0.6,0.004,50,26
2021-04-16-05,11.1,1.6,180,50,6.6,1005.1,,,9.7,0.041,0.031,0.5,0.003,45,20
2021-04-16-06,11,1.5,200,57,7.4,1005.1,0,0,9.7,0.047,0.029,0.5,0.003,44,17
2021-04-16-07,11.2,2.8,160,55,7.3,1004.3,0.1,0.18,10.2,0.061,0.03,0.5,0.003,49,26
2021-04-16-08,11.8,3.2,180,60,8.2,1004.5,0,0.15,10.3,0.066,0.03,0.5,0.004,53,28
2021-04-16-09,12.1,2.4,180,61,8.5,1004.4,0,0.18,10.9,0.055,0.034,0.5,0.004,48,25
2021-04-16-10,12.1,4.9,180,66,9.3,1004.8,0,0.13,10.8,0.046,0.033,0.6,0.004,49,22
2021-04-16-11,11.1,4.3,200,84,11,1005.4,0,0.18,11.2,0.037,0.034,0.6,0.003,44,19
2021-04-16-12,10.9,3.9,200,94,12.2,1005,0,0.19,11.7,0.033,0.031,0.5,0.003,41,17
2021-04-16-13,11,3.3,200,93,12.2,1004.9,0,0.26,12.3,0.028,0.031,0.4,0.003,37,15
2021-04-16-14,11.6,2.8,230,89,12.1,1005.3,0,0.54,14.8,0.018,0.036,0.5,0.003,35,16
2021-04-16-15,13.9,2.9,200,74,11.7,1004.9,0.6,2.18,21.9,0.013,0.037,0.5,0.002,31,13
2021-04-16-16,14.7,4.1,200,61,10.2,1004.6,0.8,2.05,20.2,0.008,0.044,0.6,0.002,30,13
2021-04-16-17,14.6,3.9,200,46,7.6,1004.6,1,1.53,16.1,0.019,0.035,0.5,0.003,30,13
2021-04-16-18,13.8,3.4,200,38,6,1004.7,1,0.74,13,0.038,0.02,0.4,0.003,28,10
2021-04-16-19,12.2,2.1,230,40,5.7,1005.2,0.2,0.27,10.6,0.04,0.02,0.4,0.004,27,12
2021-04-16-20,11.1,3,250,42,5.6,1006.3,0,0.01,9,0.038,0.021,0.4,0.003,29,16
2021-04-16-21,10.2,1.6,250,45,5.6,1007.2,,,8.3,0.032,0.031,0.4,0.003,28,15
2021-04-16-22,9.4,0.9,250,49,5.8,1007.4,,,7.8,0.026,0.037,0.4,0.003,30,14
2021-04-16-23,8.7,1.1,50,58,6.5,1007.4,,,7.3,0.029,0.039,0.4,0.004,31,12
2021-04-17-00,8.1,0.6,250,62,6.7,1007.5,,,6.7,0.029,0.037,0.4,0.003,30,12
2021-04-17-01,7.8,0.9,290,66,7,1007.4,,,6.5,0.03,0.034,0.5,0.003,28,12
2021-04-17-02,7.6,1.2,290,67,7,1006.8,,,6.3,0.03,0.032,0.5,0.002,32,15
2021-04-17-03,7.3,0.9,340,68,6.9,1006.3,,,6,0.024,0.036,0.5,0.003,32,17
2021-04-17-04,6.7,1.1,340,69,6.8,1006.1,,,5.7,0.028,0.032,0.4,0.003,19,13
2021-04-17-05,6.2,1.9,360,75,7.1,1005.2,,,5.6,0.03,0.032,0.4,0.003,20,11
2021-04-17-06,6.2,0.8,290,72,6.8,1005.3,0,0,5.3,0.033,0.03,0.5,0.003,40,16
2021-04-17-07,6.7,0.7,250,75,7.3,1005.4,0,0.14,6.9,0.038,0.024,0.4,0.002,85,16
2021-04-17-08,8.1,1,230,70,7.5,1005.5,0,0.53,10.1,0.037,0.022,0.4,0.003,206,27
2021-04-17-09,10.2,2.4,200,61,7.6,1005.4,0.1,1.06,13.1,0.031,0.019,0.4,0.002,296,30
2021-04-17-10,11.2,2.6,230,57,7.5,1005.5,0,0.84,12.8,0.026,0.025,0.4,0.002,179,19
2021-04-17-11,11.2,3.2,230,46,6.1,1005.6,0,0.53,12.3,0.021,0.03,0.5,0.003,67,14
2021-04-17-12,11.6,4.5,230,43,5.9,1004.8,0,0.81,12.6,0.024,0.03,0.4,0.003,65,13
2021-04-17-13,10.7,4,230,52,6.7,1004.3,0,0.82,14,0.017,0.034,0.5,0.003,68,13
2021-04-17-14,13.2,3.4,250,49,7.4,1003,0.6,2.3,18.4,0.011,0.034,0.5,0.002,65,14
2021-04-17-15,13.9,4.8,230,48,7.6,1002.3,0.8,2.67,22.5,0.007,0.038,0.5,0.003,63,13
2021-04-17-16,13.2,6.7,270,42,6.3,1002.3,1,2.44,18.8,0.004,0.036,0.5,0.003,62,14
2021-04-17-17,10.6,1.3,20,55,7,1002.3,0.1,0.58,14.4,0.003,0.036,0.5,0.003,59,12
2021-04-17-18,10.7,1,360,50,6.4,1002.1,0.3,0.61,13.1,0.006,0.031,0.5,0.003,58,12
2021-04-17-19,10.8,4.6,270,35,4.5,1002.4,0.6,0.28,9.7,0.005,0.03,0.4,0.003,59,12
2021-04-17-20,9.7,3.6,250,48,5.8,1003,0,0.01,8.1,0.006,0.03,0.4,0.002,59,14
2021-04-17-21,9,3.2,250,54,6.2,1003.7,,,7.3,0.003,0.032,0.4,0.002,50,11
2021-04-17-22,8.4,2.7,250,56,6.2,1003.9,,,6.9,0.003,0.033,0.5,0.002,55,10
2021-04-17-23,8.1,3.4,250,53,5.7,1003.8,,,6.4,0.004,0.036,0.6,0.003,52,11
2021-04-18-00,7.6,2.8,270,57,6,1004.3,,,6.1,0.007,0.043,0.6,0.003,64,13
2021-04-18-01,7.2,2.8,250,66,6.7,1004.4,,,5.8,0.017,0.035,0.4,0.003,96,17
2021-04-18-02,6.8,3.2,250,71,7,1004.5,,,5.6,0.021,0.03,0.4,0.003,127,22
2021-04-18-03,6.5,2.5,250,75,7.2,1004.5,,,5.4,0.032,0.018,0.4,0.003,136,20
2021-04-18-04,6.2,2.6,250,75,7.1,1004.6,,,5.2,0.035,0.016,0.3,0.002,128,19
2021-04-18-05,5.8,0.5,270,75,6.9,1005.3,,,5.1,0.035,0.017,0.3,0.003,120,17
2021-04-18-06,5.7,2.7,250,79,7.2,1005.8,0,0,4.8,0.038,0.018,0.3,0.002,115,17
2021-04-18-07,5.6,0.7,230,78,7.1,1006.7,0.4,0.21,5.5,0.038,0.013,0.3,0.002,72,12
2021-04-18-08,7.2,3.7,290,71,7.2,1007.1,1,0.9,9.7,0.036,0.014,0.3,0.002,52,13
2021-04-18-09,8.5,4,320,64,7.1,1007.4,1,1.74,15.8,0.031,0.018,0.4,0.003,34,7
2021-04-18-10,10.1,3.1,290,58,7.1,1007.5,1,2.45,21.2,0.028,0.019,0.4,0.002,42,8
2021-04-18-11,11.2,2.8,290,54,7.2,1007.3,1,3.14,24.7,0.032,0.016,0.4,0.002,34,7
2021-04-18-12,12.8,3,270,50,7.4,1006.8,1,3.43,27.7,0.035,0.014,0.4,0.002,32,11
2021-04-18-13,13.7,3.7,250,47,7.3,1006,0.9,3.28,27.6,0.03,0.019,0.4,0.003,29,9
2021-04-18-14,14.1,4.8,290,43,6.9,1005.4,1,3.47,27,0.032,0.015,0.4,0.002,30,9
2021-04-18-15,14.6,4.8,250,46,7.6,1004.8,0.9,2.76,25.2,0.034,0.013,0.3,0.002,32,9
2021-04-18-16,15.2,3.6,230,47,8.1,1004.4,1,2.52,23.3,0.034,0.011,0.3,0.002,32,10
2021-04-18-17,14.8,4.4,270,46,7.7,1004.3,1,1.79,17.8,0.032,0.01,0.3,0.002,29,10
2021-04-18-18,13.6,4,250,53,8.2,1004.4,1,0.95,14.3,0.029,0.009,0.4,0.002,24,12
2021-04-18-19,11.9,4.5,200,62,8.6,1004.9,0.7,0.29,11.9,0.026,0.01,0.4,0.002,16,10
2021-04-18-20,10.6,3.5,180,69,8.8,1005.9,0,0.01,10.5,0.022,0.011,0.4,0.002,15,10
2021-04-18-21,9.9,2,230,71,8.6,1006.5,,,9.6,0.018,0.013,0.4,0.003,15,9
2021-04-18-22,9.2,2.5,200,76,8.8,1007,,,8.9,0.019,0.012,0.4,0.002,17,9
2021-04-18-23,8.6,1.6,180,75,8.4,1007.1,,,8.2,0.021,0.012,0.3,0.002,13,5
2021-04-19-00,7.9,0.8,230,76,8.1,1007.1,,,7.3,0.023,0.012,0.3,0.002,10,5
2021-04-19-01,7.3,0.5,160,77,7.8,1007.3,,,6.6,0.027,0.011,0.3,0.003,16,4
2021-04-19-02,6.8,1.6,230,78,7.7,1007.3,,,6.2,0.031,0.009,0.3,0.003,22,8
2021-04-19-03,6.7,1.3,230,80,7.8,1007,,,6,0.035,0.01,0.3,0.002,25,11
2021-04-19-04,6.6,0.5,250,83,8.1,1006.8,,,5.7,0.038,0.011,0.4,0.002,28,9
2021-04-19-05,6.3,1,20,86,8.2,1006.8,,,5.6,0.04,0.012,0.4,0.002,29,12
2021-04-19-06,5.8,1.8,20,86,7.9,1007.1,0,0,5.4,0.04,0.013,0.4,0.002,34,12
2021-04-19-07,6.1,1.8,20,87,8.1,1007.4,0.5,0.22,6.5,0.041,0.014,0.4,0.002,37,13
2021-04-19-08,8.2,1,90,81,8.8,1007.6,1,0.81,10.9,0.04,0.016,0.3,0.003,39,15
2021-04-19-09,10.6,1.8,180,67,8.5,1007.4,1,1.62,16.4,0.038,0.02,0.5,0.003,40,14
2021-04-19-10,13.2,2.3,200,61,9.2,1007.6,1,2.31,21.3,0.039,0.023,0.4,0.002,49,16
2021-04-19-11,14.9,3.2,200,55,9.3,1007.3,1,2.91,25.5,0.039,0.023,0.4,0.002,44,19
2021-04-19-12,16.3,4.2,180,49,9,1006.6,1,3.29,28.2,0.035,0.024,0.4,0.002,39,18
2021-04-19-13,17.6,4,200,46,9.2,1006.1,1,3.41,29.7,0.031,0.028,0.4,0.002,37,17
2021-04-19-14,18.6,2.9,200,45,9.6,1005.7,1,3.32,30.1,0.033,0.029,0.4,0.002,33,18
2021-04-19-15,19,4.6,200,45,9.8,1005.4,1,2.97,28.7,0.029,0.03,0.4,0.002,32,16
2021-04-19-16,18.4,4.3,180,48,10.1,1005.1,1,2.41,25.7,0.025,0.03,0.4,0.002,34,17
2021-04-19-17,17.4,4.1,200,50,9.9,1005.2,1,1.71,20.2,0.025,0.024,0.4,0.002,29,16
2021-04-19-18,16.4,3.7,200,52,9.7,1005.4,1,0.91,16.6,0.026,0.022,0.4,0.002,26,15
2021-04-19-19,14.6,2.9,180,59,9.7,1005.8,0.6,0.28,14.1,0.024,0.02,0.4,0.002,29,16
2021-04-19-20,13.2,3.7,180,66,9.9,1006.8,0,0.01,12.3,0.019,0.023,0.4,0.002,29,20
2021-04-19-21,12.2,3.3,200,69,9.7,1007.9,,,11.3,0.012,0.028,0.4,0.002,32,19
2021-04-19-22,11.6,2.5,230,71,9.7,1008.2,,,10.6,0.01,0.032,0.4,0.002,36,20
2021-04-19-23,11,2,250,73,9.5,1008.4,,,10,0.009,0.043,0.5,0.003,37,20
2021-04-20-00,10.5,1.6,270,74,9.3,1008.6,,,9.5,0.017,0.045,0.6,0.004,48,22
2021-04-20-01,10.2,1.1,270,76,9.4,1008.9,,,9,0.026,0.039,0.6,0.004,47,19
2021-04-20-02,9.8,0.5,290,79,9.5,1009,,,8.5,0.033,0.035,0.5,0.004,45,18
2021-04-20-03,9.5,0.6,290,81,9.5,1009.1,,,7.9,0.043,0.029,0.5,0.004,45,18
2021-04-20-04,8.9,0.2,0,84,9.5,1009.3,,,7.6,,,,,,
2021-04-20-05,8.6,0.2,0,86,9.5,1009.9,,,7.3,,,,,,
2021-04-20-06,8.3,1.6,20,88,9.6,1010.4,0,0,7.2,0.049,0.031,0.5,0.004,44,18
2021-04-20-07,8.4,1.9,50,89,9.7,1010.9,0.4,0.22,8.4,0.053,0.035,0.5,0.004,51,22
2021-04-20-08,10.5,1.9,50,82,10.4,1011.1,1,0.77,12.9,0.054,0.033,0.5,0.004,55,23
2021-04-20-09,13.3,1.7,90,69,10.5,1011.5,1,1.59,18.5,0.053,0.037,0.5,0.004,52,24
2021-04-20-10,15.6,1.6,110,60,10.6,1011.6,1,2.24,23.6,0.051,0.035,0.6,0.004,57,27
2021-04-20-11,17.7,1.5,180,48,9.7,1011.3,1,2.84,27.3,0.046,0.039,0.6,0.003,56,28
2021-04-20-12,19.4,2.7,180,43,9.6,1010.9,1,3.22,30.4,0.048,0.037,0.6,0.003,55,28
2021-04-20-13,20.6,2.8,250,38,9.2,1010.6,1,3.32,31.7,0.05,0.031,0.5,0.003,52,24
