일자,기온,풍속(m/s),풍향(16방위),습도(%),증기압(hPa),현지기압(hPa),일조(hr),일사(MJ/m2),지면온도(°C),오 존,이산화질소,일산화탄소,아황산가스,PM10,PM2.5
2020-01-03-06,-2.5,2.4,290,85,4.3,1017,,,-2,0.002,0.03,0.8,0.003,83,54
2020-01-03-07,-3,1.4,290,86,4.2,1016.9,,,-2.4,0.002,0.029,0.8,0.003,80,50
2020-01-03-08,-3.3,1.7,270,86,4.1,1017,0,0,-2.6,0.002,0.03,0.8,0.003,78,52
2020-01-03-09,-2.6,2.2,290,74,3.7,1017.3,0.7,0.3,-1.9,0.002,0.033,0.9,0.003,84,50
2020-01-03-10,-1,2.2,320,60,3.4,1018,1,0.86,-0.9,0.009,0.031,0.9,0.005,79,50
2020-01-03-11,0.1,3.2,320,48,3,1017.6,1,1.32,-0.3,0.017,0.025,0.9,0.005,84,44
2020-01-03-12,1.7,2.4,320,42,2.9,1017.3,1,1.62,0.2,0.019,0.023,0.8,0.006,78,42
2020-01-03-13,2.9,2,270,35,2.6,1016.1,1,1.69,1.4,0.016,0.029,0.8,0.005,77,43
2020-01-03-14,4,3.1,270,30,2.4,1015.3,1,1.7,3.1,0.018,0.029,0.7,0.005,72,43
2020-01-03-15,4.1,2.9,290,28,2.3,1015.3,1,1.36,2.8,0.022,0.027,0.7,0.005,63,37
2020-01-03-16,4.3,2.1,340,30,2.5,1015.6,1,0.89,1.7,0.027,0.022,0.6,0.004,55,33
2020-01-03-17,3.3,2.2,320,35,2.7,1015.3,1,0.35,0.2,0.026,0.025,0.6,0.004,60,35
2020-01-03-18,2.2,1.3,320,38,2.7,1015.6,0.1,0.01,0,0.017,0.033,0.6,0.004,62,39
2020-01-03-19,1.3,1.8,290,39,2.6,1016.2,,,-0.4,0.006,0.042,0.7,0.004,60,36
2020-01-03-20,0.6,1.2,320,43,2.8,1016.3,,,-0.6,0.003,0.048,0.8,0.004,59,33
2020-01-03-21,-0.5,1.2,270,48,2.8,1016.3,,,-0.8,0.003,0.045,0.8,0.004,63,37
2020-01-03-22,-0.8,0.6,270,50,2.9,1015.9,,,-1.1,0.002,0.046,0.9,0.003,58,36
2020-01-03-23,-1,0.6,320,55,3.1,1015.5,,,-1.5,0.002,0.044,0.9,0.003,63,38
2020-01-04-00,-1.5,1.4,270,58,3.2,1015.1,,,-1.8,0.002,0.045,0.9,0.004,62,40
2020-01-04-01,-1.6,1,290,59,3.2,1014.8,,,-2.1,0.002,0.039,0.8,0.003,59,40
2020-01-04-02,-1.9,0.7,360,63,3.3,1014.5,,,-2.3,0.002,0.039,0.8,0.003,58,39
2020-01-04-03,-2.1,1.1,50,59,3.1,1015,,,-2.7,0.002,0.04,0.9,0.003,52,35
2020-01-04-04,-2.3,1.5,50,62,3.2,1014.9,,,-2.9,0.002,0.043,1,0.003,53,35
2020-01-04-05,-2.7,1.4,20,64,3.2,1014.4,,,-2.9,0.002,0.044,1.1,0.003,54,35
2020-01-04-06,-2.4,1.3,50,64,3.3,1014.4,,,-1.7,0.002,0.045,1.2,0.003,52,35
2020-01-04-07,-1.8,1.6,50,62,3.3,1014.3,,,-1.3,0.002,0.049,1.2,0.004,59,40
2020-01-04-08,-1.8,1.1,70,63,3.4,1014.5,0,0,-1.5,0.001,0.05,1.2,0.004,67,40
2020-01-04-09,-1.5,1.6,50,62,3.4,1015.3,0,0.11,-1.1,0.002,0.049,1.3,0.004,70,43
2020-01-04-10,0.1,1.2,50,54,3.3,1015.6,0.8,0.61,-0.4,0.003,0.061,1.3,0.005,75,45
2020-01-04-11,2,1.3,50,49,3.5,1015.4,1,1.16,-0.1,0.004,0.058,1.4,0.005,89,49
2020-01-04-12,4.2,2.8,340,51,4.2,1014.8,1,1.5,0.4,0.005,0.056,1.4,0.006,93,58
2020-01-04-13,5,2.9,320,42,3.7,1014.2,1,1.68,2.4,0.023,0.022,0.7,0.005,90,61
2020-01-04-14,5.6,4,340,40,3.6,1014,1,1.62,4,0.029,0.018,0.6,0.005,61,39
2020-01-04-15,6.1,2.2,320,33,3.1,1014.2,1,1.35,4.2,0.03,0.018,0.6,0.004,50,31
2020-01-04-16,5.6,3.4,340,34,3.1,1014.5,1,0.89,2.6,0.03,0.019,0.6,0.005,45,30
2020-01-04-17,4.7,3.5,290,36,3.1,1014.9,1,0.35,0.5,0.028,0.022,0.7,0.005,52,36
2020-01-04-18,3.6,1.5,270,41,3.2,1015.5,0.1,0.02,0.1,0.022,0.027,0.7,0.004,52,36
2020-01-04-19,2.7,0.8,290,44,3.3,1016,,,-0.1,0.026,0.023,0.6,0.004,52,37
2020-01-04-20,1.8,0.5,20,45,3.1,1016.5,,,-0.5,0.025,0.022,0.6,0.004,50,37
2020-01-04-21,1.6,1.9,360,43,3,1016.7,,,-0.6,0.026,0.022,0.6,0.004,53,34
2020-01-04-22,1.2,3.3,290,45,3,1017.2,,,-0.7,0.022,0.024,0.6,0.004,52,33
2020-01-04-23,0.7,3.5,320,48,3.1,1017.3,,,-1,0.019,0.026,0.6,0.004,57,33
2020-01-05-00,-0.3,0.8,290,53,3.2,1017.4,,,-1.3,0.017,0.025,0.6,0.004,51,34
2020-01-05-01,-1,1.6,290,53,3,1017.3,,,-1.7,0.011,0.028,0.7,0.003,52,37
2020-01-05-02,-1.5,0.8,320,52,2.9,1017.6,,,-2.1,0.008,0.03,0.7,0.003,50,35
2020-01-05-03,-1.7,2,270,55,3,1018.5,,,-2.2,0.002,0.038,0.8,0.003,44,29
2020-01-05-04,-2.1,0.7,340,55,2.9,1018.5,,,-2.5,0.005,0.034,0.8,0.003,44,30
2020-01-05-05,-2.4,0.9,340,55,2.8,1018.7,,,-3,0.006,0.031,0.8,0.003,50,33
2020-01-05-06,-2.6,0,0,58,2.9,1019.3,,,-3.3,0.002,0.037,0.9,0.003,50,31
2020-01-05-07,-3,0.4,0,59,2.9,1019.9,,,-3.6,0.002,0.038,0.9,0.003,50,31
2020-01-05-08,-3.1,1,50,61,3,1020.3,0,0,-3.7,0.002,0.04,1,0.003,50,32
2020-01-05-09,-2.7,0.7,50,58,2.9,1020.9,0.9,0.28,-2.8,0.003,0.042,1.2,0.004,55,37
2020-01-05-10,-0.6,0.8,20,50,2.9,1021.6,1,0.87,-1.3,0.005,0.046,1.1,0.005,62,38
2020-01-05-11,2.1,0.7,110,42,3,1021.2,1,1.38,-0.3,0.009,0.038,1.1,0.006,73,46
2020-01-05-12,4,1.1,70,35,2.8,1020.5,1,1.66,0.3,0.012,0.039,1,0.006,73,46
2020-01-05-13,5.5,0.8,110,33,3,1019.5,1,1.66,1.8,0.014,0.042,0.9,0.005,62,42
2020-01-05-14,6,1.8,230,32,3,1019.3,1,1.47,3.4,0.015,0.036,0.8,0.005,62,44
2020-01-05-15,6.5,0.9,230,30,2.9,1019.2,1,1,3,0.014,0.04,0.8,0.005,58,38
2020-01-05-16,5.9,1.2,250,29,2.7,1019.5,0.2,0.56,2.1,0.01,0.045,0.8,0.005,55,37
2020-01-05-17,5,1.1,230,30,2.6,1020,0,0.22,0.6,0.005,0.051,0.8,0.004,54,36
2020-01-05-18,4,0.3,0,37,3,1020.1,0,0,0,0.002,0.052,0.8,0.004,52,37
2020-01-05-19,3.3,1.2,320,40,3.1,1019.9,,,0,0.001,0.046,0.8,0.004,63,42
2020-01-05-20,2.9,1,50,42,3.2,1019.8,,,0,0.002,0.049,0.8,0.004,60,43
2020-01-05-21,2,1.8,50,46,3.2,1019.5,,,-0.2,0.001,0.049,1,0.004,60,41
2020-01-05-22,1.3,1.3,50,44,3,1020,,,-0.4,0.002,0.049,1,0.004,63,42
2020-01-05-23,0.7,2.2,70,47,3,1019.6,,,-0.5,0.002,0.046,0.9,0.004,57,39
2020-01-06-00,0.8,1.3,70,46,3,1019.3,,,-0.5,0.002,0.048,1.1,0.003,56,38
2020-01-06-01,0.7,2.3,70,50,3.2,1018.7,,,-0.6,0.002,0.051,1.2,0.004,58,36
2020-01-06-02,1.2,3.4,70,44,2.9,1018.6,,,-0.6,0.001,0.047,1.1,0.004,58,38
2020-01-06-03,1.1,2.7,90,43,2.8,1018.8,,,-0.6,0.002,0.042,0.9,0.004,54,33
2020-01-06-04,1.5,1.8,90,41,2.8,1018.2,,,-0.4,0.001,0.044,1,0.004,47,34
2020-01-06-05,1.7,1.7,90,40,2.8,1018,,,-0.4,0.002,0.044,0.8,0.004,55,37
2020-01-06-06,2,2.1,90,40,2.8,1017.8,,,-0.3,0.002,0.043,0.8,0.004,49,32
2020-01-06-07,2.1,1.6,70,42,3,1017.9,,,-0.3,0.002,0.055,0.9,0.004,53,34
2020-01-06-08,2.2,1.3,70,43,3.1,1018.1,0,0,-0.2,0.001,0.043,0.9,0.004,55,34
2020-01-06-09,2.5,0.7,90,42,3.1,1018.7,0,0.04,-0.1,0.002,0.047,1.1,0.005,58,35
2020-01-06-10,3,2,70,44,3.3,1017.8,0,0.11,-0.1,0.002,0.056,1.2,0.005,62,38
2020-01-06-11,3.5,3.4,70,45,3.5,1017.7,0,0.29,0,0.002,0.048,1.1,0.005,69,37
2020-01-06-12,4.5,3.5,70,51,4.3,1017,0,0.64,0.4,0.004,0.036,0.9,0.005,67,38
2020-01-06-13,4,3.6,70,58,4.7,1015.8,0,0.3,0.7,0.004,0.043,0.8,0.004,59,34
2020-01-06-14,3.9,4.9,70,65,5.3,1014.8,0,0.28,1.9,0.004,0.041,0.9,0.004,58,35
2020-01-06-15,3.7,4.5,70,70,5.6,1014.2,0,0.26,2.2,0.006,0.035,0.7,0.004,47,30
2020-01-06-16,3.3,3.9,70,79,6.1,1014,0,0.1,2.1,0.006,0.034,0.7,0.004,36,25
2020-01-06-17,3,3.5,70,83,6.2,1013.8,0,0.01,1.9,0.003,0.041,0.8,0.003,35,24
2020-01-06-18,2.8,4.5,70,89,6.6,1013.4,0,0,1.7,0.002,0.039,0.8,0.003,35,25
2020-01-06-19,3.1,4.7,70,92,7,1012.9,,,1.9,0.002,0.039,0.7,0.003,37,27
2020-01-06-20,3.4,4.8,70,92,7.2,1012.7,,,2.1,0.002,0.047,0.7,0.003,34,25
2020-01-06-21,3.6,4.5,70,93,7.3,1012.2,,,2.4,0.003,0.037,0.7,0.003,31,22
2020-01-06-22,3.8,4.3,70,94,7.5,1011.5,,,2.5,0.002,0.04,0.7,0.003,29,20
2020-01-06-23,4,3.4,70,94,7.6,1011.1,,,2.7,0.004,0.036,0.6,0.003,25,18
2020-01-07-00,4.2,4.4,70,95,7.8,1009.9,,,2.9,0.006,0.036,0.6,0.003,23,18
2020-01-07-01,4.3,4.5,70,95,7.8,1009.2,,,3.2,0.009,0.028,0.5,0.003,21,13
2020-01-07-02,4.4,5.1,70,95,7.9,1008.3,,,3.3,0.012,0.022,0.5,0.003,18,11
2020-01-07-03,4.6,4.5,70,95,8,1007.3,,,3.5,0.018,0.016,0.4,0.003,15,12
2020-01-07-04,5.1,2.9,70,95,8.3,1007,,,3.8,0.018,0.018,0.4,0.003,11,9
2020-01-07-05,5.3,3.1,90,95,8.4,1006.3,,,4,0.015,0.019,0.4,0.003,11,4
2020-01-07-06,5.5,3.3,70,95,8.5,1006,,,4.2,0.009,0.026,0.5,0.003,10,8
2020-01-07-07,5.6,3.4,90,95,8.6,1005.9,,,4.3,0.002,0.039,0.6,0.003,16,10
